date,cash,market_value,equity,total_return_pct,positions,pending_orders,candidate_rows,exit_signals,benchmark
2026-06-01,1000000.0,0.0,1000000.0,0.0,0,0,0,0,1000000.0
2026-06-02,800640.0,200900.0,1001540.0,0.154,1,0,0,0,1001895.71
2026-06-03,800640.0,210700.0,1011340.0,1.134,1,0,0,0,1019905.2
2026-06-04,600865.34,397226.66,998092.0,-0.1908,2,0,0,0,1005687.19
2026-06-05,600865.34,376656.67,977522.0,-2.2478,2,0,0,0,987203.81
2026-06-08,600865.34,357888.0,958753.34,-4.1247,2,0,0,0,956872.01
2026-06-09,600865.34,361198.01,962063.34,-3.7937,2,0,0,0,981042.65
2026-06-10,600865.34,348541.34,949406.68,-5.0593,2,0,0,0,950236.97
2026-06-11,600865.34,356504.68,957370.01,-4.263,2,0,0,0,946445.48
2026-06-12,401185.34,567953.34,969138.68,-3.0861,3,0,0,0,966350.68
2026-06-15,401185.34,572712.67,973898.0,-2.6102,3,0,0,0,997630.33
2026-06-16,401185.34,586719.34,987904.67,-1.2095,3,0,0,0,1003791.48
2026-06-17,401185.34,590220.0,991405.34,-0.8595,3,0,0,0,1004739.34
2026-06-18,401185.34,600396.67,1001582.0,0.1582,3,0,0,0,1017061.64
2026-06-22,401185.34,618822.67,1020008.0,2.0008,3,0,0,0,1053554.52
2026-06-23,401185.34,608886.66,1010072.0,1.0072,3,0,0,0,1043601.88
2026-06-24,401185.34,622032.67,1023218.01,2.3218,3,0,0,0,1015639.82
2026-06-25,401185.34,628880.0,1030065.34,3.0065,3,0,0,0,1016113.72
2026-06-26,401185.34,598694.67,999880.01,-0.012,3,0,0,0,977251.17
2026-06-29,401185.34,616954.01,1018139.34,1.8139,3,0,0,0,990047.36
2026-06-30,401185.34,635557.33,1036742.67,3.6743,3,0,0,0,1021800.98
2026-07-01,1478.34,1011691.0,1013169.34,1.3169,5,0,0,0,1039715.66
2026-07-02,1478.34,1013192.0,1014670.34,1.467,5,0,0,0,1031279.65
2026-07-03,1478.34,1005559.0,1007037.34,0.7037,5,0,0,0,1027014.2
2026-07-06,1478.3360330386786,1023376.5,1024854.8360330387,2.485483603303873,5,1,0,1,
